TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
1485941.0,151868.0,163691.0,170402.0,172925.0,177484.0,199269.0,182752.0,153797.0,113753.0,1112092.0,1485941.0,258521.0,295287.0,376461.0,179359.0,731004.0,704955.0,26049.0,862.2916811,425.0763117,577.6517087,2030.362038,1426772.0,414928.0,1202485.0,494930.0,352328.0,102154.0,163990.0,43465.0,104031
163129.0,19981.0,21849.0,19982.0,20353.0,19958.0,23063.0,19725.0,11557.0,6661.0,147253.0,163129.0,39833.0,35451.0,23850.0,17477.0,85397.0,82631.0,2766.0,85.33060747,51.63048923,91.92471886,258.068266,161226.0,34912.0,125428.0,55000.0,43398.0,8680.0,13020.0,3784.0,8720
3532.0,417.0,441.0,358.0,368.0,363.0,535.0,549.0,245.0,256.0,3440.0,3532.0,915.0,880.0,496.0,401.0,2026.0,1977.0,49.0,1.913129747,1.504873351,2.306740173,5.025398234,3569.0,1046.0,2741.0,1287.0,1044.0,216.0,317.0,90.0,221
1249.0,160.0,153.0,136.0,147.0,138.0,185.0,190.0,82.0,58.0,1180.0,1249.0,300.0,306.0,238.0,131.0,731.0,713.0,18.0,0.669636775,0.571951918,0.765905909,1.35626222,1281.0,338.0,959.0,395.0,319.0,59.0,98.0,29.0,73
65263.0,6690.0,7032.0,6874.0,7004.0,7923.0,9994.0,9951.0,6043.0,3752.0,63724.0,65263.0,23407.0,12266.0,7916.0,5917.0,32148.0,30533.0,1615.0,35.68631591,28.88843708,36.71058401,136.4009164,66737.0,18721.0,52753.0,25573.0,19571.0,5030.0,6934.0,1789.0,4646
11931.0,1428.0,1524.0,1502.0,1340.0,1443.0,1668.0,1529.0,996.0,501.0,9385.0,11931.0,3290.0,2474.0,898.0,2597.0,4355.0,4100.0,255.0,8.333439142,0.427458288,4.382446183,13.5068829,12047.0,2963.0,9247.0,5180.0,3911.0,1063.0,1423.0,357.0,921
356495.0,36202.0,38649.0,37040.0,38574.0,40171.0,45853.0,50609.0,45236.0,24161.0,297834.0,356495.0,81305.0,83228.0,56151.0,40582.0,155273.0,149818.0,5455.0,206.874077,101.980886,138.5855467,487.1081119,326215.0,107419.0,288227.0,133006.0,99150.0,29587.0,40608.0,10946.0,28883
23081.0,2384.0,2185.0,2967.0,4093.0,3423.0,2928.0,2875.0,1569.0,657.0,21971.0,23081.0,2272.0,4087.0,9847.0,1443.0,15340.0,14876.0,464.0,11.4259014,6.432063378,15.02146478,21.73318309,22923.0,4298.0,18842.0,4576.0,3655.0,928.0,1360.0,447.0,981
292735.0,32484.0,41802.0,63434.0,35994.0,30764.0,32218.0,30554.0,16702.0,8783.0,221224.0,292735.0,37856.0,56717.0,67150.0,49916.0,150474.0,144991.0,5483.0,129.441747,110.786907,176.3863443,594.5827576,286185.0,51447.0,234329.0,83104.0,69361.0,16546.0,21235.0,6330.0,14157
17787.0,1610.0,1941.0,1845.0,1786.0,2183.0,2852.0,2903.0,1803.0,864.0,17191.0,17787.0,5237.0,3760.0,2269.0,1894.0,7943.0,7602.0,341.0,9.278467764,6.579635315,12.22354405,27.60885896,17510.0,5135.0,14602.0,7388.0,5242.0,1816.0,2157.0,504.0,1513
194160.0,27633.0,25743.0,30396.0,28071.0,22456.0,22936.0,19437.0,11206.0,6282.0,88457.0,194160.0,34761.0,43169.0,33352.0,37759.0,79354.0,75325.0,4029.0,88.8713933,61.40708733,62.9574917,236.030608,198647.0,34483.0,146048.0,69475.0,54622.0,11067.0,20949.0,4922.0,10041
32412.0,3696.0,3566.0,3278.0,3481.0,3382.0,4550.0,5242.0,3455.0,1762.0,22067.0,32412.0,9155.0,5645.0,4376.0,5552.0,16762.0,16123.0,639.0,17.03995111,7.998655034,14.1898119,44.71940721,32840.0,9713.0,25756.0,12877.0,10174.0,2797.0,4348.0,1089.0,2673
